* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, idas:abandonedhouse, HEADING, header:ignore, 0, 0, 0
70, idas:fishermans_lodge, HEADING, header:ignore, 0, 0, 0
71, explorations:floating_island, HEADING, header:ignore, 0, 0, 0
72, explorations:forgotten_well, HEADING, header:ignore, 0, 0, 0
73, alexscaves:forlorn_bridge, HEADING, header:ignore, 0, 0, 0
74, alexscaves:forlorn_canyon, HEADING, header:ignore, 0, 0, 0
75, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
76, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
77, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
78, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
79, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
80, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
81, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
82, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
83, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
84, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
85, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
86, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
87, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
88, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
89, cobblemon:fossils/prehistoric_birch_tree, HEADING, header:ignore, 0, 0, 0
90, cobblemon:fossils/prehistoric_dripstone_oasis, HEADING, header:ignore, 0, 0, 0
91, cobblemon:fossils/prehistoric_enhydro_agate, HEADING, header:ignore, 0, 0, 0
92, cobblemon:fossils/prehistoric_eroded_pillar, HEADING, header:ignore, 0, 0, 0
93, cobblemon:fossils/prehistoric_frozen_pond, HEADING, header:ignore, 0, 0, 0
94, cobblemon:fossils/prehistoric_frozen_spike, HEADING, header:ignore, 0, 0, 0
95, cobblemon:fossils/prehistoric_hydrothermal_vents, HEADING, header:ignore, 0, 0, 0
96, cobblemon:fossils/prehistoric_lush_den, HEADING, header:ignore, 0, 0, 0
97, cobblemon:fossils/prehistoric_mossy_pond, HEADING, header:ignore, 0, 0, 0
98, cobblemon:fossils/prehistoric_mud_pit, HEADING, header:ignore, 0, 0, 0
99, cobblemon:fossils/prehistoric_oak_tree, HEADING, header:ignore, 0, 0, 0
100, cobblemon:fossils/prehistoric_powdered_deposit, HEADING, header:ignore, 0, 0, 0
101, cobblemon:fossils/prehistoric_preserved_skeleton, HEADING, header:ignore, 0, 0, 0
102, cobblemon:fossils/prehistoric_rooted_pit, HEADING, header:ignore, 0, 0, 0
103, cobblemon:fossils/prehistoric_sandy_den, HEADING, header:ignore, 0, 0, 0
104, cobblemon:fossils/prehistoric_spruce_tree, HEADING, header:ignore, 0, 0, 0
105, cobblemon:fossils/prehistoric_submerged_impact, HEADING, header:ignore, 0, 0, 0
106, cobblemon:fossils/prehistoric_submerged_spike, HEADING, header:ignore, 0, 0, 0
107, cobblemon:fossils/prehistoric_sunscorched_den, HEADING, header:ignore, 0, 0, 0
108, cobblemon:fossils/prehistoric_sunscorched_remains, HEADING, header:ignore, 0, 0, 0
109, cobblemon:fossils/prehistoric_suspicious_mound, HEADING, header:ignore, 0, 0, 0
110, cobblemon:fossils/prehistoric_underwater_fissure, HEADING, header:ignore, 0, 0, 0
111, cobblemon:fossils/prehistoric_vibrant_hydrothermal_vents, HEADING, header:ignore, 0, 0, 0
112, idas:frozen_crypt, HEADING, header:ignore, 0, 0, 0
113, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
114, iceandfire:gorgon_temple, HEADING, header:ignore, 0, 0, 0
115, iceandfire:graveyard, HEADING, header:ignore, 0, 0, 0
116, idas:haunted_manor, HEADING, header:ignore, 0, 0, 0
117, idas:haunted_manor, MONSTER, quark:wraith, 10, 3, 4
118, idas:hermits_hollow, HEADING, header:ignore, 0, 0, 0
119, idas:hunters_cabin, HEADING, header:ignore, 0, 0, 0
120, idas:iceandfire/dread_citadel, HEADING, header:ignore, 0, 0, 0
121, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
122, terralith:igloo, HEADING, header:ignore, 0, 0, 0
123, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
124, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
125, explorations:jungle_temple, HEADING, header:ignore, 0, 0, 0
126, integrated_villages:kutcha_village, HEADING, header:ignore, 0, 0, 0
127, idas:labyrinth, HEADING, header:ignore, 0, 0, 0
128, explorations:large_oak_tree, HEADING, header:ignore, 0, 0, 0
129, explorations:logs, HEADING, header:ignore, 0, 0, 0
130, idas:lumber_camp/lumber_camp_acacia, HEADING, header:ignore, 0, 0, 0
131, idas:lumber_camp/lumber_camp_birch, HEADING, header:ignore, 0, 0, 0
132, idas:lumber_camp/lumber_camp_bopmahogany, HEADING, header:ignore, 0, 0, 0
133, idas:lumber_camp/lumber_camp_bopredwood, HEADING, header:ignore, 0, 0, 0
134, idas:lumber_camp/lumber_camp_bygmahogany, HEADING, header:ignore, 0, 0, 0
135, idas:lumber_camp/lumber_camp_bygredwood, HEADING, header:ignore, 0, 0, 0
136, idas:lumber_camp/lumber_camp_dark_oak, HEADING, header:ignore, 0, 0, 0
137, idas:lumber_camp/lumber_camp_jungle, HEADING, header:ignore, 0, 0, 0
138, idas:lumber_camp/lumber_camp_oak, HEADING, header:ignore, 0, 0, 0
139, idas:lumber_camp/lumber_camp_spruce, HEADING, header:ignore, 0, 0, 0
140, ad_astra:lunar_tower, HEADING, header:ignore, 0, 0, 0
141, ad_astra:lunarian_village, HEADING, header:ignore, 0, 0, 0
142, terralith:mage_complex, HEADING, header:ignore, 0, 0, 0
143, terralith:mage_tower, HEADING, header:ignore, 0, 0, 0
144, terralith:mage_tower_autumn, HEADING, header:ignore, 0, 0, 0
145, terralith:mage_tower_spring, HEADING, header:ignore, 0, 0, 0
146, terralith:mage_tower_summer, HEADING, header:ignore, 0, 0, 0
147, terralith:mage_tower_winter, HEADING, header:ignore, 0, 0, 0
148, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
149, mes:manuscript_shrine, HEADING, header:ignore, 0, 0, 0
150, ad_astra:mars_temple, HEADING, header:ignore, 0, 0, 0
151, iceandfire:mausoleum, HEADING, header:ignore, 0, 0, 0
152, integrated_villages:mediterranean_village, HEADING, header:ignore, 0, 0, 0
153, ad_astra:meteor, HEADING, header:ignore, 0, 0, 0
154, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
155, minecraft:mineshaft, AMBIENT, alexsmobs:underminer, 50, 1, 1
156, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
157, bettermineshafts:mineshaft_acacia, AMBIENT, alexsmobs:underminer, 50, 1, 1
158, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
159, bettermineshafts:mineshaft_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
160, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
161, bettermineshafts:mineshaft_dripstone, AMBIENT, alexsmobs:underminer, 50, 1, 1
162, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
163, bettermineshafts:mineshaft_ice, AMBIENT, alexsmobs:underminer, 50, 1, 1
164, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
165, bettermineshafts:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 50, 1, 1
166, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
167, bettermineshafts:mineshaft_lush, AMBIENT, alexsmobs:underminer, 50, 1, 1
168, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
169, bettermineshafts:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
170, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
171, minecraft:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
172, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
173, bettermineshafts:mineshaft_mushroom, AMBIENT, alexsmobs:underminer, 50, 1, 1
174, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
175, bettermineshafts:mineshaft_oak, AMBIENT, alexsmobs:underminer, 50, 1, 1
176, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
177, bettermineshafts:mineshaft_overgrown, AMBIENT, alexsmobs:underminer, 50, 1, 1
178, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
179, bettermineshafts:mineshaft_red_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
180, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
181, bettermineshafts:mineshaft_spruce, AMBIENT, alexsmobs:underminer, 50, 1, 1
182, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
183, bettermineshafts:mineshaft_spruce_snowy, AMBIENT, alexsmobs:underminer, 50, 1, 1
184, mes:monolith, HEADING, header:ignore, 0, 0, 0
185, minecraft:monument, HEADING, header:ignore, 0, 0, 0
186, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
187, ad_astra:moon_dungeon, HEADING, header:ignore, 0, 0, 0
188, mes:mythic_garden, HEADING, header:ignore, 0, 0, 0
189, hexerei:nature_coven, HEADING, header:ignore, 0, 0, 0
190, idas:necromancers_spire, HEADING, header:ignore, 0, 0, 0
191, idas:necromancers_spire, MONSTER, quark:wraith, 10, 1, 1
192, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
193, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 30, 1, 1
194, idas:nexus, HEADING, header:ignore, 0, 0, 0
195, idas:nexus, MONSTER, minecraft:silverfish, 10, 1, 4
196, idas:nexus, MONSTER, quark:wraith, 10, 1, 4
197, forbidden_arcanus:nipa, HEADING, header:ignore, 0, 0, 0
198, forbidden_arcanus:nipa_floating, HEADING, header:ignore, 0, 0, 0
199, integrated_villages:oasis_village, HEADING, header:ignore, 0, 0, 0
200, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
201, bakery:oat_field, CREATURE, minecraft:pig, 10, 1, 4
202, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
203, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 2, 4
204, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
205, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
206, alexscaves:ocean_trench, HEADING, header:ignore, 0, 0, 0
207, ad_astra:oil_well, HEADING, header:ignore, 0, 0, 0
208, mes:phantom_citadel, HEADING, header:ignore, 0, 0, 0
209, hopo:piglin_ruin, HEADING, header:ignore, 0, 0, 0
210, idas:pillager_camp, HEADING, header:ignore, 0, 0, 0
211, idas:pillager_fortress, HEADING, header:ignore, 0, 0, 0
212, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
213, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
214, integrated_villages:pirate_village, HEADING, header:ignore, 0, 0, 0
215, mes:placid_prairie, HEADING, header:ignore, 0, 0, 0
216, hopo:portal, HEADING, header:ignore, 0, 0, 0
217, hopo:portal_deepslate, HEADING, header:ignore, 0, 0, 0
218, hopo:portal_dripstone, HEADING, header:ignore, 0, 0, 0
219, hopo:portal_lush, HEADING, header:ignore, 0, 0, 0
220, ad_astra:pygro_tower, HEADING, header:ignore, 0, 0, 0
221, ad_astra:pygro_village, HEADING, header:ignore, 0, 0, 0
222, idas:redhorn_guild, HEADING, header:ignore, 0, 0, 0
223, ribbits:ribbit_village, HEADING, header:ignore, 0, 0, 0
224, terralith:rubble_desert, HEADING, header:ignore, 0, 0, 0
225, terralith:rubble_forest, HEADING, header:ignore, 0, 0, 0
226, terralith:rubble_jungle, HEADING, header:ignore, 0, 0, 0
227, terralith:rubble_mesa, HEADING, header:ignore, 0, 0, 0
228, terralith:rubble_mountain, HEADING, header:ignore, 0, 0, 0
229, terralith:rubble_taiga, HEADING, header:ignore, 0, 0, 0
230, mes:ruined_pillar, HEADING, header:ignore, 0, 0, 0
231, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
232, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
233, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
234, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
235, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
236, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
237, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
238, cobblemon:ruins/crumbling_arch_ruins, HEADING, header:ignore, 0, 0, 0
239, cobblemon:ruins/decaying_crypt_ruins, HEADING, header:ignore, 0, 0, 0
240, cobblemon:ruins/deserted_gimmi_tower, HEADING, header:ignore, 0, 0, 0
241, cobblemon:ruins/deserted_house_ruins, HEADING, header:ignore, 0, 0, 0
242, cobblemon:ruins/deserted_tower_ruins, HEADING, header:ignore, 0, 0, 0
243, cobblemon:ruins/deserted_town_center_ruins, HEADING, header:ignore, 0, 0, 0
244, cobblemon:ruins/fallen_statue_ruins, HEADING, header:ignore, 0, 0, 0
245, cobblemon:ruins/frozen_gimmi_tower, HEADING, header:ignore, 0, 0, 0
246, cobblemon:ruins/hidden_bunker_ruins, HEADING, header:ignore, 0, 0, 0
247, cobblemon:ruins/lush_gimmi_tower, HEADING, header:ignore, 0, 0, 0
248, cobblemon:ruins/mossy_oubliette_ruins, HEADING, header:ignore, 0, 0, 0
249, cobblemon:ruins/rooted_arch_ruins, HEADING, header:ignore, 0, 0, 0
250, cobblemon:ruins/rooted_gimmi_tower, HEADING, header:ignore, 0, 0, 0
251, cobblemon:ruins/sunscorched_gimmi_tower, HEADING, header:ignore, 0, 0, 0
252, cobblemon:ruins/temperate_gimmi_tower, HEADING, header:ignore, 0, 0, 0
253, cobblemon:ruins/toppled_pillars_ruins, HEADING, header:ignore, 0, 0, 0
254, cobblemon:ruins/unstable_cave_ruins, HEADING, header:ignore, 0, 0, 0
255, idas:ruins_of_the_deep, HEADING, header:ignore, 0, 0, 0
256, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
257, minecraft:shipwreck, MONSTER, alexsmobs:skelewag, 15, 1, 2
258, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
259, explorations:shrine, HEADING, header:ignore, 0, 0, 0
260, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
261, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
262, skyvillages:skyvillage, HEADING, header:ignore, 0, 0, 0
263, explorations:slime_cave, HEADING, header:ignore, 0, 0, 0
264, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
265, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
266, embers:small_ruin, HEADING, header:ignore, 0, 0, 0
267, embers:small_ruin, MONSTER, embers:ancient_golem, 20, 1, 1
268, idas:snifferhenge, HEADING, header:ignore, 0, 0, 0
269, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
270, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
271, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
272, terralith:spire, HEADING, header:ignore, 0, 0, 0
273, mes:starlight_voyager, HEADING, header:ignore, 0, 0, 0
274, integrated_stronghold:stronghold, HEADING, header:ignore, 0, 0, 0
275, integrated_stronghold:stronghold, MONSTER, minecraft:silverfish, 10, 1, 1
276, integrated_stronghold:stronghold, MONSTER, minecraft:enderman, 10, 1, 1
277, integrated_stronghold:stronghold, MONSTER, alexsmobs:underminer, 10, 1, 1
278, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
279, idas:sunken_ship/sunken_ship, HEADING, header:ignore, 0, 0, 0
280, idas:sunken_ship/sunken_ship, MONSTER, quark:wraith, 10, 1, 2
281, idas:sunken_ship/sunken_ship_coral, HEADING, header:ignore, 0, 0, 0
282, idas:sunken_ship/sunken_ship_coral, MONSTER, quark:wraith, 10, 1, 2
283, idas:sunken_ship/sunken_ship_ruins, HEADING, header:ignore, 0, 0, 0
284, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
285, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
286, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
287, integrated_villages:tavern_village, HEADING, header:ignore, 0, 0, 0
288, idas:tinkers_citadel, HEADING, header:ignore, 0, 0, 0
289, idas:tinkers_workshop, HEADING, header:ignore, 0, 0, 0
290, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
291, idas:train_ruins, HEADING, header:ignore, 0, 0, 0
292, idas:tree_of_wisdom, HEADING, header:ignore, 0, 0, 0
293, idas:treetop_tavern, HEADING, header:ignore, 0, 0, 0
294, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
295, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
296, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
297, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
298, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
299, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
300, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
301, alexscaves:underground_cabin, HEADING, header:ignore, 0, 0, 0
302, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
303, idas:underground_camp/underground_camp, HEADING, header:ignore, 0, 0, 0
304, idas:underground_camp/underground_camp_deep, HEADING, header:ignore, 0, 0, 0
305, explorations:underground_temple, HEADING, header:ignore, 0, 0, 0
306, explorations:underground_temple, MONSTER, minecraft:illusioner, 80, 4, 9
307, explorations:underground_temple, MONSTER, minecraft:pillager, 80, 4, 9
308, explorations:underground_temple, MONSTER, minecraft:vindicator, 80, 4, 9
309, hopo:underwater/underwater_city, HEADING, header:ignore, 0, 0, 0
310, hopo:underwater/underwater_fossils, HEADING, header:ignore, 0, 0, 0
311, hopo:underwater/underwater_small_ruins, HEADING, header:ignore, 0, 0, 0
312, hopo:underwater/underwater_warm_small_ruins, HEADING, header:ignore, 0, 0, 0
313, terralith:valley_lodge, HEADING, header:ignore, 0, 0, 0
314, ad_astra:venus_bullet, HEADING, header:ignore, 0, 0, 0
315, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
316, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
317, cobblemon:village_plains_pokecenter, HEADING, header:ignore, 0, 0, 0
318, cobblemon:village_plains_pokecenter, CREATURE, minecraft:pig, 80, 5, 10
319, cobblemon:village_plains_pokecenter_signtest, HEADING, header:ignore, 0, 0, 0
320, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
321, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
322, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
323, alexscaves:volcano, HEADING, header:ignore, 0, 0, 0
324, idas:washing_camp, HEADING, header:ignore, 0, 0, 0
325, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
326, idas:winter_wagon, HEADING, header:ignore, 0, 0, 0
327, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
328, terralith:witch_hut, HEADING, header:ignore, 0, 0, 0
329, terralith:witch_hut, MONSTER, minecraft:witch, 10, 1, 2
330, terralith:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
331, idas:witches_treestump, HEADING, header:ignore, 0, 0, 0
332, idas:witches_treestump, MONSTER, minecraft:witch, 10, 1, 1
333, idas:witches_treestump, CREATURE, minecraft:cat, 10, 1, 1
334, idas:wizard_tower, HEADING, header:ignore, 0, 0, 0
335, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
336, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
