* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
168, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
169, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
170, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
171, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
172, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 4, 4
173, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 4, 4
174, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
175, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 10, 4, 4
176, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 2, 2
177, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
178, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 10, 1, 2
179, jungle, terralith:amethyst_canyon, CREATURE, minecraft:wolf, 10, 4, 4
180, jungle, terralith:amethyst_canyon, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
181, jungle, terralith:amethyst_canyon, CREATURE, crittersandcompanions:red_panda, 10, 1, 2
182, jungle, terralith:amethyst_canyon, CREATURE, crittersandcompanions:jumping_spider, 10, 1, 1
183, jungle, terralith:amethyst_canyon, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
184, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:hummingbird, 19, 7, 7
185, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:gorilla, 25, 7, 7
186, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:komodo_dragon, 16, 1, 2
187, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:capuchin_monkey, 28, 9, 16
188, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:tiger, 30, 1, 3
189, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:toucan, 23, 5, 5
190, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:anteater, 10, 1, 3
191, jungle, terralith:amethyst_canyon, CREATURE, iceandfire:hippogryph, 10, 1, 1
192, jungle, terralith:amethyst_canyon, CREATURE, iceandfire:amphithere, 50, 1, 3
193, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
194, jungle, terralith:amethyst_canyon, AMBIENT, alexsmobs:fly, 10, 2, 3
195, jungle, terralith:amethyst_canyon, AMBIENT, alexsmobs:cockroach, 10, 5, 5
196, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
197, jungle, terralith:amethyst_canyon, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
198, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
199, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 4, 4
200, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 10, 1, 1
201, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
202, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:creeper, 80, 4, 4
203, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
204, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 5, 1, 4
205, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
206, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 10, 1, 3
207, jungle, terralith:amethyst_rainforest, MONSTER, embers:ancient_golem, 15, 1, 1
208, jungle, terralith:amethyst_rainforest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
209, jungle, terralith:amethyst_rainforest, MONSTER, alexsmobs:farseer, 30, 1, 1
210, jungle, terralith:amethyst_rainforest, MONSTER, alexsmobs:murmur, 10, 1, 1
211, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
212, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
213, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
214, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
215, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 4, 4
216, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 4, 4
217, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
218, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 10, 4, 4
219, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 2, 2
220, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
221, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 10, 1, 2
222, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:wolf, 10, 4, 4
223, jungle, terralith:amethyst_rainforest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
224, jungle, terralith:amethyst_rainforest, CREATURE, crittersandcompanions:red_panda, 10, 1, 2
225, jungle, terralith:amethyst_rainforest, CREATURE, crittersandcompanions:jumping_spider, 10, 1, 1
226, jungle, terralith:amethyst_rainforest, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
227, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:hummingbird, 19, 7, 7
228, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:gorilla, 25, 7, 7
229, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:komodo_dragon, 16, 1, 2
230, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:capuchin_monkey, 28, 9, 16
231, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:tiger, 30, 1, 3
232, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:toucan, 23, 5, 5
233, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:anaconda, 12, 1, 1
234, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:anteater, 10, 1, 3
235, jungle, terralith:amethyst_rainforest, CREATURE, iceandfire:amphithere, 50, 1, 3
236, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
237, jungle, terralith:amethyst_rainforest, AMBIENT, alexsmobs:fly, 10, 2, 3
238, jungle, terralith:amethyst_rainforest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
239, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
240, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
241, none, terralith:ancient_sands, MONSTER, minecraft:spider, 80, 4, 4
242, none, terralith:ancient_sands, MONSTER, minecraft:zombie, 19, 4, 4
243, none, terralith:ancient_sands, MONSTER, minecraft:zombie_villager, 10, 1, 1
244, none, terralith:ancient_sands, MONSTER, minecraft:skeleton, 80, 4, 4
245, none, terralith:ancient_sands, MONSTER, minecraft:creeper, 80, 4, 4
246, none, terralith:ancient_sands, MONSTER, minecraft:slime, 80, 4, 4
247, none, terralith:ancient_sands, MONSTER, minecraft:enderman, 5, 1, 4
248, none, terralith:ancient_sands, MONSTER, minecraft:witch, 5, 1, 1
249, none, terralith:ancient_sands, MONSTER, minecraft:husk, 80, 4, 4
250, none, terralith:ancient_sands, MONSTER, embers:ancient_golem, 15, 1, 1
251, none, terralith:ancient_sands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
252, none, terralith:ancient_sands, MONSTER, alexsmobs:guster, 35, 1, 2
253, none, terralith:ancient_sands, MONSTER, alexsmobs:farseer, 30, 1, 1
254, none, terralith:ancient_sands, MONSTER, alexsmobs:murmur, 10, 1, 1
255, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
256, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
257, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
258, none, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
259, none, terralith:ancient_sands, CREATURE, minecraft:rabbit, 10, 2, 3
260, none, terralith:ancient_sands, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
261, none, terralith:ancient_sands, CREATURE, alexsmobs:roadrunner, 10, 2, 2
262, none, terralith:ancient_sands, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
263, none, terralith:ancient_sands, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
264, none, terralith:ancient_sands, AMBIENT, minecraft:bat, 10, 8, 8
265, none, terralith:ancient_sands, AMBIENT, alexsmobs:fly, 10, 2, 3
266, none, terralith:ancient_sands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
267, none, terralith:ancient_sands, AMBIENT, alexsmobs:jerboa, 12, 1, 3
268, none, terralith:ancient_sands, AMBIENT, alexsmobs:rain_frog, 10, 1, 3
269, none, terralith:ancient_sands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
270, none, terralith:ancient_sands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
271, none, terralith:ancient_sands, WATER_AMBIENT, alexsmobs:triops, 10, 2, 6
272, none, terralith:arid_highlands, MONSTER, minecraft:spider, 80, 4, 4
273, none, terralith:arid_highlands, MONSTER, minecraft:zombie, 80, 4, 4
274, none, terralith:arid_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
275, none, terralith:arid_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
276, none, terralith:arid_highlands, MONSTER, minecraft:creeper, 80, 4, 4
277, none, terralith:arid_highlands, MONSTER, minecraft:slime, 80, 4, 4
278, none, terralith:arid_highlands, MONSTER, minecraft:enderman, 5, 1, 4
279, none, terralith:arid_highlands, MONSTER, minecraft:witch, 5, 1, 1
280, none, terralith:arid_highlands, MONSTER, embers:ancient_golem, 15, 1, 1
281, none, terralith:arid_highlands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
282, none, terralith:arid_highlands, MONSTER, alexsmobs:farseer, 30, 1, 1
283, none, terralith:arid_highlands, MONSTER, alexsmobs:murmur, 10, 1, 1
284, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
285, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
286, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
287, none, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
288, none, terralith:arid_highlands, CREATURE, minecraft:sheep, 12, 4, 4
289, none, terralith:arid_highlands, CREATURE, minecraft:pig, 10, 4, 4
290, none, terralith:arid_highlands, CREATURE, minecraft:chicken, 10, 4, 4
291, none, terralith:arid_highlands, CREATURE, minecraft:cow, 10, 4, 4
292, none, terralith:arid_highlands, CREATURE, minecraft:horse, 10, 1, 3
293, none, terralith:arid_highlands, CREATURE, minecraft:donkey, 10, 1, 1
294, none, terralith:arid_highlands, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
295, none, terralith:arid_highlands, CREATURE, alexsmobs:gazelle, 40, 7, 7
296, none, terralith:arid_highlands, CREATURE, alexsmobs:elephant, 30, 3, 5
297, none, terralith:arid_highlands, CREATURE, alexsmobs:emu, 20, 2, 5
298, none, terralith:arid_highlands, CREATURE, alexsmobs:kangaroo, 25, 3, 5
299, none, terralith:arid_highlands, CREATURE, alexsmobs:maned_wolf, 10, 1, 1
300, none, terralith:arid_highlands, CREATURE, alexsmobs:rhinoceros, 24, 3, 5
301, none, terralith:arid_highlands, AMBIENT, minecraft:bat, 10, 8, 8
302, none, terralith:arid_highlands, AMBIENT, alexsmobs:fly, 10, 2, 3
303, none, terralith:arid_highlands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
304, none, terralith:arid_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
305, none, terralith:arid_highlands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
306, none, terralith:ashen_savanna, MONSTER, minecraft:spider, 80, 4, 4
307, none, terralith:ashen_savanna, MONSTER, minecraft:zombie, 80, 4, 4
308, none, terralith:ashen_savanna, MONSTER, minecraft:zombie_villager, 10, 1, 1
